id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	q74#1	q74#2	q74#3	q74#4	q74#5	q74#6	q74#7	q74#8	q74#9	q65#13	q65#17	q65#18	q40_23	q75_1	q78_1
48	72	2	14	4	1	1	1	2	1	3	3	1	1	 	1	8	1	0	0	0	0	0	0	1	0	1	0	1	1	120	30
49	41	3	13	2	1	1	2	1	2	3	2	2	1	15	1	6	1	1	1	0	0	0	0	0	0	0	0	0	3	0	240
50	42	5	15	2	1	2	2	1	2	1	2	2	1	18	1	6	1	0	1	0	1	0	0	0	0	1	1	0	2	240	500
51	42	4	23	1	1	2	1	2	2	1	2	2	1	23	1	7	1	0	0	0	0	0	0	0	0	1	0	0	1	2	2
52	81	3	14	4	1	2	2	1	4	2	3	2	1	14	1	6	1	1	1	0	1	1	0	0	1	1	1	1	1	180	350
53	53	3	14	5	1	2	1	2	5	2	3	2	2	17	1	2	1	1	1	0	1	0	0	1	0	1	1	0	2	40	80
54	11	6	13	4	1	1	2	2	2	1	2	1	2	31	1	3	1	1	0	0	0	1	0	1	1	1	1	1	1	60	100
55	61	4	16	3	1	2	1	1	4	2	2	2	1	18	1	3	1	1	1	1	0	0	1	1	0	1	1	0	1	60	120
56	41	3	13	4	3	1	2	1	4	2	4	2	1	13	1	6	1	1	0	0	1	0	0	0	0	1	0	1	3	20	0
57	62	3	16	3	1	2	2	1	5	2	2	9	2	20	1	1	1	1	1	0	0	0	0	0	0	1	0	0	1	60	100
58	51	5	13	3	1	1	1	2	6	2	3	9	2	19	1	1	1	0	0	0	0	0	0	0	0	0	0	0	6	15	10
59	11	6	15	3	1	1	1	2	6	2	1	9	2	22	1	3	1	1	1	1	0	0	0	0	0	1	0	0	1	180	180
60	32	3	16	5	1	2	1	1	4	2	2	2	1	16	1	3	0	0	0	1	0	0	0	0	0	0	1	0	2	60	60
61	31	4	17	3	3	2	1	1	2	1	4	1	2	 	1	2	1	1	0	1	0	0	0	0	0	0	0	0	1	300	300
62	61	3	14	2	1	2	1	2	5	2	2	2	2	19	1	3	1	1	1	0	0	1	0	0	0	1	0	0	1	30	60
63	81	5	15	4	1	1	1	2	4	2	4	7	2	15	1	1	1	1	1	0	0	0	0	1	0	1	1	0	4	40	30
64	21	1	14	5	1	1	1	2	4	3	1	2	2	17	1	2	1	1	1	0	0	1	1	1	0	1	1	0	1	300	60
65	51	4	13	2	1	2	1	2	4	2	3	2	1	15	1	6	1	0	1	1	1	0	0	1	0	1	1	0	1	180	120
66	11	6	13	4	1	1	2	2	4	1	3	2	1	16	1	6	1	1	0	0	0	1	0	1	1	1	0	1	1	780	180
67	11	6	15	3	1	2	1	2	4	2	4	2	2	31	1	6	1	1	0	0	0	0	0	0	0	1	1	0	2	15	15
68	42	3	16	3	1	1	1	2	4	2	4	6	2	22	1	3	1	1	1	1	1	0	0	0	0	1	1	0	1	60	90
69	81	1	14	4	1	1	2	2	5	2	3	2	2	17	1	3	1	1	1	0	0	0	0	0	0	1	0	0	3	5	60
70	71	1	15	3	1	2	1	1	1	1	1	1	2	31	1	5	0	0	0	0	0	1	0	0	0	1	1	0	1	100	150
71	71	2	14	4	1	1	2	1	1	1	1	1	2	31	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	180	180
72	72	4	13	5	1	1	1	1	5	2	2	4	1	13	1	2	1	1	1	0	0	1	0	1	0	1	1	0	1	180	120
73	61	1	14	3	3	2	1	2	6	2	1	9	2	21	1	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	10
74	31	4	13	4	1	1	1	1	1	1	3	1	2	19	1	5	1	1	1	1	0	0	1	1	1	1	1	1	1	6	10
